table_name	column_name	comment
spatial_ref_sys	auth_name	String. Name given to the referencing system, usually by an administrative authority
spatial_ref_sys	auth_srid	Numeric. Unique code given by the European Petroleum Survey Group to the spatial referencing system
spatial_ref_sys	srtext	String. Large text-type field listing metadata such as the ellipsoid, the datum and the author(s) of the system
spatial_ref_sys	proj4text	String. Defines the geometrical transformations on which the projection relies
typo	id_typo	Numeric. Unique identifier of the contexts in the 'typology' table, used as primary key in 'typology' table
typo	filiere	String. Defines (in french) the metallurgical process (e.g. bloomery of finery process for iron metallurgy) to which the sample is related
typo	contexte	String. Defines (in french) the context (e.g. geological, archaeological, experimental) in which the sample has been taken
typo	materiau	String. Defines (in french) the material type (e.g. ore, slag, etc) of which the sample is made
typo	categorie	String. Defines (in french) the typological category of the sample, either as a complement to the material definition or a mention to the chaine operatoire
typo	sous_categorie	String. Defines (in french) the typological sub-category of the sample, to precise the 'categorie' field (e.g. running slag, hearth bottom)
typo	filiere_en	String. Defines (in english) the metallurgical process (e.g. bloomery of finery process for iron metallurgy) to which the sample is related
typo	contexte_en	String. Defines (in english) the context (e.g. geological, archaeological, experimental) in which the sample has been taken
typo	materiau_en	String. Defines (in english) the material type (e.g. ore, slag, etc) of which the sample is made
typo	categorie_en	String. Defines (in english) the typological category of the sample, either as a complement to the material definition or a mention to the chaine operatoire
typo	sous_categorie_en	String. Defines (in english) the typological sub-category of the sample, to precise the 'categorie' field (e.g. running slag, hearth bottom)
typo	ark_frantic	String. URL of type Archival Resource Key to a concept in the Pactols thesaurus created by Frantiq research cluster, the concept being aligned on other databases (e.g. getty, wikidata)
